date,Demand Response,Coal,Bioenergy,Distillate,Gas,Hydro,Wind,Solar (Utility),Solar (Rooftop)
1 Jan 2010 12:00 am,—,171,0,0,21,13,4,—,—
1 Jan 2011 12:00 am,—,162,0,0,24,16,5,—,—
1 Jan 2012 12:00 am,—,160,0,0,23,13,6,—,—
1 Jan 2013 12:00 am,—,149,0,0,24,18,7,—,—
1 Jan 2014 12:00 am,—,143,0,0,24,18,9,—,—
1 Jan 2015 12:00 am,—,148,0,0,23,13,9,0,0
1 Jan 2016 12:00 am,—,152,0,0,20,14,10,0,8
1 Jan 2017 12:00 am,—,151,0,0,19,16,11,1,7
1 Jan 2018 12:00 am,—,147,0,0,20,15,13,1,7
1 Jan 2019 12:00 am,—,145,0,0,17,15,16,3,9
1 Jan 2020 12:00 am,—,136,0,0,17,15,18,6,12
1 Jan 2021 12:00 am,—,131,0,0,13,15,21,8,14
1 Jan 2022 12:00 am,—,124,0,0,13,16,25,10,18
1 Jan 2023 12:00 am,—,121,0,0,11,16,27,13,21
1 Jan 2024 12:00 am,—,121,0,0,10,14,27,16,24
1 Jan 2025 12:00 am,0,106,—,—,5,14,38,21,29
1 Jan 2026 12:00 am,0,94,—,—,8,16,45,24,31
1 Jan 2027 12:00 am,—,81,—,—,9,13,64,26,34
1 Jan 2028 12:00 am,0,72,—,—,8,14,76,27,37
1 Jan 2029 12:00 am,0,58,—,—,10,13,94,28,41
1 Jan 2030 12:00 am,0,39,—,—,7,14,121,35,44
1 Jan 2031 12:00 am,0,34,—,—,5,14,129,39,48
1 Jan 2032 12:00 am,—,30,0,—,3,14,137,46,51
1 Jan 2033 12:00 am,0,28,0,—,4,13,144,50,54
1 Jan 2034 12:00 am,0,15,1,—,8,17,153,53,58
1 Jan 2035 12:00 am,0,7,2,—,7,14,169,57,61
1 Jan 2036 12:00 am,0,7,2,—,7,13,173,61,64
1 Jan 2037 12:00 am,0,3,2,—,10,16,174,65,67
1 Jan 2038 12:00 am,0,—,2,—,8,12,187,70,70
1 Jan 2039 12:00 am,0,—,1,—,7,13,194,70,74
1 Jan 2040 12:00 am,0,—,2,—,12,14,193,70,77
1 Jan 2041 12:00 am,1,—,2,—,15,14,193,72,80
1 Jan 2042 12:00 am,0,—,2,—,14,13,197,75,83
1 Jan 2043 12:00 am,0,—,2,—,17,13,192,82,86
1 Jan 2044 12:00 am,0,—,2,—,18,11,187,95,90
1 Jan 2045 12:00 am,0,—,2,—,14,14,199,89,93
1 Jan 2046 12:00 am,0,—,2,—,9,14,197,102,96
1 Jan 2047 12:00 am,1,—,2,—,11,13,197,103,100
1 Jan 2048 12:00 am,0,—,1,—,11,13,201,105,104
1 Jan 2049 12:00 am,1,—,2,—,8,12,202,111,107
1 Jan 2050 12:00 am,1,—,2,—,6,12,200,119,111
1 Jan 2051 12:00 am,1,—,2,—,12,14,199,114,115
1 Jan 2052 12:00 am,1,—,1,—,7,10,209,117,119
